"[""L'affinage Cheese&wine"", '598dbd29f5e9d73b73c395f6']"
"['Банзай Кулінарна Студія', '57fd0ca9498e3bc5cd775cb6']"
"['Цукор (Цукор - Крива Липа)', '58df9f5a44587f5a08b7672e']"
"['Ресторація Бачевських', '54b69c3a498e7aea12b2bba9']"
"['Saigon', '593c079cf0b490219461d8c5']"
"['Holly Bush', '58cd652cb50d5261ea6d9457']"
"['Bratello. Italian grill restaurant', '5a97e0eff5e9d74a233b1d0a']"
"['Пекар', '56dc0959cd108c3b2184a086']"
"['Маруся', '59e08dd92079557506768d67']"
"['Churrasco Grill & Wine', '5852de1cea1c0d49117fb8dc']"
"['Druzi cafe & bar Lviv', '593c20c50d2be72ade4871f8']"
"['Leopolis', '52ebb91611d2cfb7ae2c309b']"
"['OMNOMNOM', '5aa107c74febd53ed969f463']"
"['Грушевський Cinema Jazz', '4ffeb2aae4b0092e518f2ddf']"
"['Pizza Celentano Ristorante (Піца Челентано)', '5130eb51e4b018c1b228b9c1']"
"['Ресторан Челентано', '557fd7fd498eca6e4d5cfbfb']"
"['Реберня «Під Арсеналом»', '568fe49f498e56870f8114d4']"
"['Tante Sophie cafe escargot', '55f2cd0a498e8eb6624b2ce1']"
"['Food&Good', '590080cd8264443cd860c0ff']"
"['Кафе-вітальня', '573ff8de498ec528112be2d8']"
"['Red Pepper', '533a695e11d2d502ac040683']"
"['Vapiano', '544e28dc498eac061c700de1']"
"['Ville de Saint Denis', '58d92b89debdf62e17edba46']"
"[""Перша львівська грильова ресторація м'яса та справедливості"", '4e0df9b97d8bb178a8a40c62']"
"['Cantona Pub', '55660b74498e2ec41025a759']"
"['Bubble Waffle', '55a3bc1f498e042d0613a3a7']"
"['Атляс / Atlas (Атляс)', '528fc78611d2fae86590fce0']"
"['Dogs Like Ducks', '594377775f68b90855119bc5']"
"['КебабШеф', '57065cb1498e5cef14ba905d']"
"['KORK Irish Pub Whiskey & Grill', '587e66e7040d5304e8583f62']"
"['Ахалі', '592acda4c8b2fb4f25f0e3d3']"
"['Єреван', '526fd8b311d2135b8720bdf6']"
"['Lviv Croissants', '558970d4498ed813e3213b93']"
"['Старий Рояль / Staryi Royal (Старий рояль)', '4e75f5c5e4cd32543788ff67']"
"['kaVa.coffee•sandwiches', '57e69253498e6a859f786817']"
"['Tapas Papas', '59cd3555dff8153e7b880fe4']"
"['Трапезна Музею Ідей', '4ee367b06da14e7d98ac2841']"
"['Кумпель / Kumpel (Кумпель)', '52542caa11d22f7b4cbaf37b']"
"['Крива Липа / Kryva Lypa (Крива Липа)', '4c16afa774fb20a1e67f5012']"
"['Супкультура', '599ec8939ef8ef06b476c666']"
"['Львівська мануфактура кави', '5a326e169cadd95f82b81b44']"
"['КебабШеф', '589b41a1113efc0564b39473']"
"['Фелічіта / Felicita (Фелічіта)', '4fad51d2e4b00ef465b16aa3']"
"['Соус', '549acd84498e523caf9c5e15']"
"['Lviv Croissants (Львівські круасани)', '5618fadf498eb2f4514ed64c']"
"['Trattoria da Domenico', '573ef094cd10204eda895969']"
"['Террасса / Terrazza (Террасса)', '504b6441e4b06b3021434f89']"
"['Bar Mushly', '5443f6de498e5512d29946a5']"
"['Dreamers place', '5789fbdf498e6008caaa19eb']"
"['Confiserie ""JUST""', '568f9299498e79a6c65b7ac5']"
"['Крамниця ""Вино & М\'ясо""', '542befff498ee6f304d67114']"
"['Sowá Cafe', '5533e921498e24c6ea15101e']"
"['Пструг, хліб та вино', '50df5c5ee4b0cf8b3b167fc9']"
"['GREEN', '531f3079498e17c2a8fa05b5']"
"['Тераса «Євроготель»', '5791d921498ea410b9919abf']"
"['Ресторан «Шкоцька» / Szkocka Restaurant & Bar', '5368c9f8498eb3c4cc72278f']"
"['TG Amigos', '557d5c37498e6ddf7a018045']"
"['Tartufo trattoria', '564dd4a5498e1f41e5095c0e']"
"['Криївка / Kryyivka (Криївка)', '4bf94dc15317a5939302017f']"
"['Mons Pius', '4d066c4b0e49721e65227b7f']"
"['Білка', '556c3d0d498e3bb54e3650ee']"
"['Багет / Baguette', '544b7b23498e062a21e43319']"
"['Львівські Круасани', '58f72945419a9e1422dd88a9']"
"['Львівські круасани', '56e2dd48498e1342699f9bc0']"
"['Salalat', '58076f6338fa8c7a53919e7b']"
"['Delicateka', '566b2ab8498eb66bfd57cdc6']"
"['Ресторація Медівня', '5936bbe8f2905e389ad16828']"
"['Тарта / Tarta (Тарта)', '52a341e1498ea507b26afbac']"
"['На Бамбетлi', '4ccf0a07ba0a5481804d4c59']"
"['Цукор / Cukor (Цукор - Братів Рогатинців)', '5662e161498e680e97ac2041']"
"['Tрапезна !FESTrepublic', '55f7fa2c498eb27f36d5746f']"
"['Tisto / Тісто', '5a96545c0a08ab7aa0d03e2d']"
"['Ресторан Ратуша', '54986dc4498ee0902b844244']"
"['му-му', '51e90a67498eb5b8da38af98']"
"['Живий Хліб', '5a2d14b608f5214f0565dac9']"
"['Cabinet', '5853d039ce593d53048eb53a']"
"['MolodoZeleno', '5aea0736c824ae002c21d22e']"
"['Карпатська', '58e011ba561ded7abc4c2c4e']"
"['Зелена Сливка / Zelena Slyvka', '51c34f79498e72d383f1f7e6']"
"['Love&Lviv', '571cb298498eb53af1003f73']"
"['KREDENS CAFE', '56054dd4498e9b72732e6969']"
"['Open', '5870ef060a3d5417700b702c']"
"['Churrasco Grill & Beer', '5311ce63498e242a00ab6156']"
"['Чайхана Самарканд', '55940fed498e84857cd41045']"
"['Perfetto', '595e143935d3fc3e629c80b4']"
"['Львівські Круасани', '550075d6498e94585e53f2d4']"
"['Cosa Nostra', '52b15a4c11d2ca70924a2e3e']"
"['Antalya Restaurant', '58d4d40c83622d21028ece23']"
"['Mon Chef', '52755815498ed1b61c0fdfb8']"
"['Кондитерка на Лемківській', '53ef03a7498e7cdbf1bbcd8f']"
"['Хінкальня / Khinkalnya', '536915a1498e816a0ce9dc21']"
"['Слон Бар', '58fbbf6aaa6c95172814e7ac']"
"['DUBLIN', '57e64a99498e848fd7bf1f78']"
"['Lviv Croissants', '594d1f33396de02bf6f66449']"
"['Terrace/Swiss hotel', '51ebe705498e48e072689eac']"
"['Centaur', '4c584837d12a20a1829c68bd']"
"['Під Синьою Фляжкою (Під синьою фляжкою)', '4c669b089cb82d7f10f690d2']"
"['Familia Wok & Pasta', '53765aa2498e9c99594b7042']"
"['Moyogi Lviv', '590efc75a423623a3e5b50e3']"
